Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Performance,Increment,FutureSalary,P_leave,P_stay,LikelyToStay,ExpectedLoss,LeaveRiskBin
41,1,2,1102,2,1,2,1,1,1,2,0,94,3,2,7,4,2,5993,19479,8,0,1,11,3,1,80,0,8,0,1,6,4,0,5,3,1.08,6472.4400000000005,0.8430091842583384,0.15699081574166163,False,5456.3263645610405,Very High
49,0,1,279,1,8,1,1,1,2,3,1,61,2,2,6,2,1,5130,24907,1,0,0,23,4,4,80,1,10,3,3,10,7,1,7,4,1.1,5643.000000000001,0.023625693144397882,0.9763743068556021,True,133.31978641383728,Very Low
37,1,2,1373,1,2,2,4,1,4,4,1,92,2,1,2,3,2,2090,2396,6,0,1,15,3,2,80,0,7,3,3,0,0,0,0,3,1.08,2257.2000000000003,0.8664342656456783,0.13356573435432173,False,1955.7154244154253,Very High
33,0,1,1392,1,3,4,1,1,5,4,0,56,3,1,6,3,1,2909,23159,1,0,1,11,3,3,80,0,8,3,3,8,7,3,0,3,1.08,3141.7200000000003,0.10757102600892628,0.8924289739910737,True,337.9580438327639,Very Low
27,0,2,591,1,2,1,3,1,7,1,1,40,3,1,2,2,1,3468,16632,9,0,0,12,3,4,80,1,6,3,3,2,2,2,2,3,1.08,3745.44,0.14812292117369597,0.851877078826304,True,554.7855138808078,Very Low
32,0,1,1005,1,2,2,1,1,8,4,1,79,3,1,2,4,2,3068,11864,0,0,0,13,3,3,80,0,8,2,2,7,7,3,6,3,1.08,3313.44,0.0318953486341058,0.9681046513658942,True,105.68332397819152,Very Low
59,0,2,1324,1,3,3,3,1,10,3,0,81,4,1,2,1,1,2670,9964,4,0,1,20,4,1,80,3,12,3,2,1,0,0,0,4,1.1,2937.0000000000005,0.11049192859355506,0.889508071406445,True,324.51479427927126,Very Low
30,0,2,1358,1,24,1,1,1,11,4,1,67,3,1,2,3,0,2693,13335,1,0,0,22,4,2,80,1,1,2,3,1,0,0,0,4,1.1,2962.3,0.11052490955997575,0.8894750904400243,True,327.40793958951616,Very Low
38,0,1,216,1,23,3,1,1,12,4,1,44,2,3,4,3,2,9526,8787,0,0,0,21,4,2,80,0,10,2,3,9,7,1,8,4,1.1,10478.6,0.05964727361324956,0.9403527263867504,True,625.0199212837969,Very Low
36,0,2,1299,1,27,3,3,1,13,3,1,94,3,2,0,3,1,5237,16577,6,0,0,13,3,2,80,2,17,3,2,7,7,7,7,3,1.08,5655.96,0.0743660637558554,0.9256339362441446,True,420.6114819605679,Very Low
35,0,2,809,1,16,3,3,1,14,1,1,84,4,1,2,2,1,2426,16479,0,0,0,13,3,3,80,1,6,5,3,5,4,0,3,3,1.08,2620.0800000000004,0.027888865195908646,0.9721111348040914,True,73.07105792249634,Very Low
29,0,2,153,1,15,2,1,1,15,4,0,49,2,2,2,3,2,4193,12682,0,0,1,12,3,4,80,0,10,3,3,9,5,0,8,3,1.08,4528.4400000000005,0.11041718970662226,0.8895828102933777,True,500.0176185550566,Very Low
